ID,GENENAME
ENSMUST00000002280.10,Smg9
ENSMUST00000002284.10,Plaur
ENSMUST00000002289.7,Uchl3
ENSMUST00000002291.11,Paxip1
ENSMUST00000002292.14,Rmnd5a
ENSMUST00000002297.11,Mov10
ENSMUST00000002298.6,Ppm1j
ENSMUST00000002303.11,Rhoc
ENSMUST00000002305.8,Kdm7a
ENSMUST00000002310.7,Prr27
ENSMUST00000002318.7,Zfp523
ENSMUST00000002320.15,Ppard
ENSMUST00000002327.5,Def6
ENSMUST00000002336.15,Zim1
ENSMUST00000002344.6,Metrn
ENSMUST00000002350.10,Ciao3
ENSMUST00000002360.16,Angptl4
ENSMUST00000002368.15,Dbf4
ENSMUST00000002379.14,Cd320
ENSMUST00000002389.8,Tgm1
ENSMUST00000002391.14,Tm9sf1
ENSMUST00000002395.7,Rec8
ENSMUST00000002397.6,Gmpr2
ENSMUST00000002398.8,Adcy4
ENSMUST00000002400.6,Mdp1
ENSMUST00000002403.9,Dhrs1
ENSMUST00000002412.8,Ncan
ENSMUST00000002413.14,Tmem161a
ENSMUST00000002418.14,Borcs8
ENSMUST00000002436.10,Snx9
ENSMUST00000002444.14,Rfx2
ENSMUST00000002445.9,Ranbp3
ENSMUST00000002452.7,Ndufa11
ENSMUST00000002456.9,Nt5c1b
ENSMUST00000002457.1,Bmp8b
ENSMUST00000002466.8,Nr2f6
ENSMUST00000002469.8,Ocel1
ENSMUST00000002473.9,Babam1
ENSMUST00000002487.14,Braf
ENSMUST00000002490.6,Ndufb2
ENSMUST00000002495.17,Meis3
ENSMUST00000002502.11,Hltf
ENSMUST00000002518.8,Tle5
ENSMUST00000002529.6,Prpf6
ENSMUST00000002532.8,Rgs19
ENSMUST00000002533.14,Rgs20
ENSMUST00000002549.8,Abhd3
ENSMUST00000002551.4,Snrpd1
ENSMUST00000002572.5,Slc9a3r2
ENSMUST00000002588.10,Tiam1
ENSMUST00000002599.10,Puf60
ENSMUST00000002603.11,Scrib
ENSMUST00000002625.14,Uck1
ENSMUST00000002640.5,Scin
ENSMUST00000002655.7,Mien1
ENSMUST00000002663.11,Pon1
ENSMUST00000002677.10,Axl
ENSMUST00000002678.9,Tgfb1
ENSMUST00000002683.2,Ccdc97
ENSMUST00000002699.6,Akap8
ENSMUST00000002708.4,Shh
ENSMUST00000002710.9,Pdcd2l
ENSMUST00000002733.6,Gtf2f1
ENSMUST00000002735.8,Clpp
ENSMUST00000002737.6,Alkbh7
ENSMUST00000002740.2,Pspn
ENSMUST00000002756.13,Med6
ENSMUST00000002757.10,Cox16
ENSMUST00000002765.8,Prkd1
ENSMUST00000002790.13,Cse1l
ENSMUST00000002805.13,Naa20
ENSMUST00000002808.6,Prkra
ENSMUST00000002809.13,Fkbp7
ENSMUST00000002817.11,Camk2b
ENSMUST00000002818.8,Ykt6
ENSMUST00000002825.5,Baz1b
ENSMUST00000002837.10,Tmed5
ENSMUST00000002839.8,Ppp2r5d
ENSMUST00000002840.8,Pex6
ENSMUST00000002844.13,Mrpl2
ENSMUST00000002845.7,Mea1
ENSMUST00000002846.8,Gnmt
ENSMUST00000002848.9,Grin2d
ENSMUST00000002850.7,Abcc6
ENSMUST00000002855.13,Kdelr1
ENSMUST00000002874.7,Ggct
ENSMUST00000002880.6,Btbd6
ENSMUST00000002881.4,Nudt14
ENSMUST00000002883.6,Sfrp4
ENSMUST00000002885.7,Epdr1
ENSMUST00000002889.4,Flii
ENSMUST00000002891.10,Top3a
ENSMUST00000002902.7,Qtrt1
ENSMUST00000002908.7,Plin4
ENSMUST00000002911.9,Hdgfl2
ENSMUST00000002914.9,Chaf1a
ENSMUST00000002923.9,Adprh
ENSMUST00000002924.14,Tmem39a
ENSMUST00000002925.5,Timmdc1
ENSMUST00000002926.7,Pla1a
